id;stars;name;jhi_explain;software_ico;software_ico_content_type;score;size;version;apply_system;jhi_show;allow;download_url;download_number;browse_number;state;create_user;creat_time;update_user;update_time;note
1;false;Democratic People's Republic of Korea District Ergonomic;XSS Massachusetts;../fake-data/blob/hipster.png;image/png;78934;19564;Oregon panel;IOS;false;false;Rustic Handcrafted;51089;85868;false;transmit SSL;2020-12-12T23:55:24;AI Future;2020-12-13T14:31:48;CSS
2;true;Credit Card Account;invoice Kids;../fake-data/blob/hipster.png;image/png;92180;55065;Cambridgeshire Swaziland;ANDROID;true;false;Chips Manors solutions;35190;41427;true;Falls;2020-12-13T04:40:58;Buckinghamshire Sports withdrawal;2020-12-12T17:44:54;Macao Chilean Peso Unidades de fomento feed
3;true;methodical;synergize;../fake-data/blob/hipster.png;image/png;82095;85781;Iowa synthesizing Down-sized;WIN;false;true;Branding;91202;30177;true;supply-chains Multi-lateral;2020-12-12T15:14:46;Shoes;2020-12-13T01:08:39;bus
4;true;European Monetary Unit (E.M.U.-6) payment;Handmade Rubber Fish;../fake-data/blob/hipster.png;image/png;62750;31867;Mobility;IOS;true;false;facilitate withdrawal dot-com;30849;56570;false;Branch;2020-12-13T09:21:43;best-of-breed model generate;2020-12-13T13:19:30;Gateway Supervisor
5;false;ivory Consultant Rustic Steel Hat;Delaware Refined;../fake-data/blob/hipster.png;image/png;2923;22052;Sri Lanka Tunisian Dinar Fish;ANDROID;true;true;transmitting;95123;80301;true;Ergonomic Concrete Chips;2020-12-13T05:14:15;connecting Indian Rupee Ngultrum;2020-12-12T20:00:41;Fresh
6;true;national PCI Analyst;Credit Card Account Multi-channelled;../fake-data/blob/hipster.png;image/png;38069;14842;International;LINUX;true;true;Tuna product hard drive;21971;21374;true;Dynamic;2020-12-12T20:42:43;Alabama Handmade Rubber Bacon Dobra;2020-12-13T04:36:06;bypassing
7;false;Practical bottom-line;Radial Ergonomic;../fake-data/blob/hipster.png;image/png;30027;50274;mindshare Euro composite;ANDROID;false;false;distributed Crossing CSS;7880;69357;false;Rand;2020-12-13T02:52:26;Rustic SSL;2020-12-12T23:17:46;Adaptive virtual Customer
8;true;Passage Upgradable Avon;Arizona;../fake-data/blob/hipster.png;image/png;93125;76740;invoice Division Table;MACOS;false;false;Direct;12791;95903;false;Multi-tiered Pataca;2020-12-13T04:25:10;online;2020-12-13T04:14:21;Hryvnia virtual Frozen
9;true;orange Avon THX;virtual Chicken;../fake-data/blob/hipster.png;image/png;80786;12309;payment;WIN;true;true;Tunnel payment Bacon;22746;20916;true;Administrator Oregon facilitate;2020-12-12T21:33:28;Unbranded;2020-12-13T09:15:55;Rubber
10;true;Future;e-commerce B2C web-enabled;../fake-data/blob/hipster.png;image/png;65787;28145;Burundi backing up;MACOS;false;false;Central Chief Buckinghamshire;4122;40991;false;e-markets purple static;2020-12-13T13:42:04;Personal Loan Account;2020-12-12T16:48:57;overriding
