id;type;create_user;creat_time;update_user;update_time;note
1;hacking;Specialist;2020-12-13T12:15:52;scalable Chips Ford;2020-12-13T00:29:06;overriding Utah visualize
2;Personal Loan Account;Data Assistant card;2020-12-13T05:23:58;open-source;2020-12-12T22:01:24;grey parse Health
3;clicks-and-mortar Gorgeous iterate;sensor Home Loan Account;2020-12-13T08:03:38;Lodge;2020-12-13T12:15:36;calculate
4;RAM Cotton;Oregon Computer magnetic;2020-12-12T18:35:18;Assurance;2020-12-12T20:17:44;Colorado synergistic
5;Walks evolve Functionality;cross-media Consultant;2020-12-13T12:05:07;Gorgeous;2020-12-13T14:45:52;Montana
6;Alabama;Designer parsing Refined Wooden Salad;2020-12-12T22:32:55;rich Gorgeous Granite Ball;2020-12-12T17:56:42;Guinea
7;plug-and-play website;orchestrate synergy approach;2020-12-13T02:30:38;Future Borders;2020-12-13T12:24:03;Down-sized
8;Incredible;Uruguay grow;2020-12-13T14:37:04;AI connecting Frozen;2020-12-13T06:19:48;SAS platforms
9;Awesome Frozen Hat;transmitter;2020-12-13T02:01:22;Bike Planner;2020-12-13T14:17:18;open-source
10;Rustic Cotton Tuna;Producer Gloves;2020-12-13T11:09:55;Courts;2020-12-12T20:36:14;Focused Baht Customer
