id;type;create_user;creat_time;update_user;update_time;note
1;Mauritius;Place bypassing;2020-12-12T23:58:19;platforms Fresh;2020-12-13T08:00:53;dot-com olive port
2;Cotton Awesome Steel Gloves;backing up SCSI;2020-12-12T23:27:56;Total matrices;2020-12-12T22:36:30;Canada
3;violet;Assistant Technician transmitting;2020-12-13T00:30:10;Serbia transmitting Chair;2020-12-13T09:19:32;TCP
4;North Carolina efficient payment;rich withdrawal holistic;2020-12-12T20:16:26;Czech Koruna;2020-12-13T00:11:45;Borders hard drive
5;quantifying Diverse;haptic;2020-12-12T23:51:05;Graphic Interface;2020-12-13T14:19:17;Home
6;alarm quantifying;Rustic Cotton Mouse;2020-12-13T02:37:27;Integrated Licensed Re-contextualized;2020-12-13T03:57:13;Cambridgeshire Refined Soft Pants
7;Central Direct Auto Loan Account;Oregon Bedfordshire;2020-12-13T10:22:57;synthesize Greens Metal;2020-12-12T21:08:06;groupware
8;Road Dynamic;Tactics;2020-12-13T14:56:25;Tasty Concrete Pants;2020-12-13T12:19:59;Belize Dollar envisioneer
9;RSS withdrawal;eyeballs;2020-12-12T18:45:58;1080p;2020-12-13T10:23:08;Phased engineer
10;Alabama;AI e-markets;2020-12-13T01:37:03;bluetooth;2020-12-13T08:18:02;Global
