id;score;create_user;creat_time;update_user;update_time;note
1;36615;copy Comoros contingency;2020-12-12T17:47:08;synthesizing;2020-12-12T22:51:57;Tasty heuristic Personal Loan Account
2;413;neural;2020-12-12T22:28:14;Practical Rubber Table;2020-12-12T21:27:06;Tuvalu New Mexico olive
3;60919;Chair Interactions;2020-12-13T03:51:44;Washington;2020-12-12T15:39:16;Awesome Tools
4;40794;well-modulated;2020-12-13T12:30:24;primary;2020-12-13T10:15:03;bandwidth-monitored
5;67759;payment systemic;2020-12-12T18:28:15;product;2020-12-13T08:17:57;discrete Michigan
6;70897;HTTP haptic;2020-12-12T16:02:06;EXE;2020-12-12T15:06:10;Human
7;77514;panel payment;2020-12-13T08:45:08;robust invoice;2020-12-13T09:09:48;Keyboard
8;92078;ability;2020-12-13T07:54:12;optical Colorado AI;2020-12-13T00:28:39;Granite
9;92958;Berkshire Creative Plaza;2020-12-12T15:01:56;Buckinghamshire Home Loan Account;2020-12-12T20:02:57;transmit Associate
10;80665;blue Handmade;2020-12-13T13:08:35;Gorgeous Plastic Mouse;2020-12-12T21:40:56;Networked Associate Coordinator
