id;enclosure_url;enclosure_type;create_user;creat_time;update_user;update_time;note
1;back-end Haiti e-tailers;VIDEO;Practical Streets Innovative;2020-12-13T14:30:18;Granite software;2020-12-13T04:17:44;District B2C plum
2;AGP Personal Loan Account hard drive;AUDIO;CFA Franc BCEAO;2020-12-13T03:50:07;utilisation multi-tasking indexing;2020-12-12T18:41:27;archive Afghani
3;Bike;VIDEO;Functionality Manager Shoes;2020-12-12T19:49:18;hack Cape;2020-12-13T07:49:26;Bedfordshire red eco-centric
4;Investment Account Berkshire;VIDEO;Sleek workforce 3rd generation;2020-12-13T14:18:47;maroon Illinois;2020-12-13T04:30:51;neural Savings Account proactive
5;optical Electronics copying;IMAGE;Incredible Viaduct;2020-12-12T22:47:53;Cuba Quality card;2020-12-13T07:53:42;invoice Zambian Kwacha
6;Guinea Franc Steel California;IMAGE;transition Metrics;2020-12-13T13:28:03;Rustic payment Investment Account;2020-12-13T07:25:09;Horizontal Associate Small
7;Borders;VIDEO;hierarchy;2020-12-12T20:03:07;mindshare Tasty Granite Keyboard;2020-12-13T07:57:50;innovative
8;CFP Franc deposit Assurance;AUDIO;wireless turquoise generate;2020-12-13T10:09:19;Michigan Cross-platform Tasty Soft Bike;2020-12-12T21:05:58;virtual
9;Mississippi;IMAGE;Handcrafted Granite Pants solid state;2020-12-13T01:11:49;CFA Franc BCEAO;2020-12-12T15:47:58;matrix conglomeration
10;panel Savings Account;AUDIO;Computer;2020-12-12T19:14:41;SAS Yemeni Rial Bedfordshire;2020-12-13T02:29:46;interface synthesize
